Distance_Covered_km,Time_Taken_min,Time_of_Order,Riding_Time_min,Time_of_Delivery,Hour_of_Day,Order_Type,Weather,Traffic,Area_Type,Demand_Surge,Effort_Surcharge_INR,Tip_Amount,Festival_Day,Known_Fees
2.06,14,17:58,2,18:14,17,Heavy,Clear,Medium,Suburban,1.11,15.0,7.0,Yes,88.11
1.72,9,22:46,4,22:59,22,Regular,Clear,Low,Urban,1.0,0.0,10.56,No,35.21
3.72,15,14:31,3,14:49,14,Regular,Clear,Medium,Suburban,1.35,0.0,5.0,Yes,113.54
5.84,19,12:07,4,12:30,12,Regular,Clear,Medium,Suburban,1.37,0.0,16.0,Yes,129.64
3.9,14,16:12,3,16:29,16,Regular,Clear,Medium,Suburban,1.0,0.0,5.0,No,61.43
1.6,11,15:50,2,16:03,15,Regular,Clear,High,Suburban,1.0,0.0,5.0,No,34.64
1.16,15,09:00,4,09:19,9,Fragile+Heavy,Cloudy,High,Urban,1.02,25.0,7.0,Yes,75.12
2.49,12,18:18,3,18:33,18,Regular,Rain,Medium,Urban,1.18,0.0,5.0,No,65.84
2.93,12,11:20,4,11:36,11,Regular,Clear,Low,Semi-Urban,1.0,0.0,0.0,No,59.63
1.89,7,18:23,3,18:33,18,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,32.3
1.36,7,18:57,3,19:07,18,Regular,Clear,Low,Urban,1.0,0.0,5.0,No,26.0
1.82,13,10:57,4,11:14,10,Regular,Rain,Low,Urban,1.06,0.0,5.0,No,48.17
4.56,19,08:48,3,09:10,8,Heavy,Clear,High,Suburban,1.0,15.0,5.0,No,101.39
5.11,26,20:53,4,21:23,20,Regular,Heavy Rain,High,Urban,1.39,0.0,10.0,No,154.78
3.27,12,15:17,4,15:33,15,Heavy,Rain,Low,Urban,1.05,20.0,0.0,No,82.35
2.45,13,08:29,3,08:45,8,Regular,Rain,Low,Semi-Urban,1.08,0.0,5.0,No,64.01
2.92,12,23:30,2,23:44,23,Regular,Clear,Medium,Urban,1.0,0.0,10.0,No,47.6
1.54,8,08:03,4,08:15,8,Regular,Clear,Low,Urban,1.0,0.0,5.0,No,29.13
1.5,19,19:29,6,19:54,19,Regular,Heavy Rain,Jam,Urban,1.2,0.0,5.0,No,75.09
5.31,13,23:36,3,23:52,23,Regular,Clear,Low,Semi-Urban,1.0,0.0,15.0,No,72.2
3.66,13,12:52,5,13:10,12,Regular,Cloudy,Low,Suburban,1.16,0.0,11.0,No,82.71
1.72,10,09:14,2,09:26,9,Regular,Clear,Medium,Suburban,1.0,0.0,5.0,No,35.02
1.29,10,09:47,2,09:59,9,Heavy,Clear,Medium,Urban,1.0,20.0,0.0,No,50.49
2.41,18,12:58,7,13:23,12,Regular,Rain,Jam,Urban,1.35,0.0,0.0,No,90.81
2.54,11,09:03,2,09:16,9,Fragile,Cloudy,Low,Suburban,1.0,5.0,0.0,No,55.74
1.91,7,19:13,5,19:25,19,Regular,Cloudy,Low,Urban,1.03,0.0,5.0,No,34.18
3.07,13,08:54,3,09:10,8,Heavy,Cloudy,Medium,Suburban,1.0,15.0,0.0,No,74.31
1.41,11,16:42,2,16:55,16,Regular,Clear,Medium,Urban,1.13,0.0,5.0,Yes,56.94
3.53,18,23:40,2,00:00,23,Regular,Cloudy,Medium,Urban,1.16,0.0,0.0,Yes,109.81
1.83,20,20:37,6,21:03,20,Fragile+Heavy,Heavy Rain,High,Urban,1.28,20.0,6.0,No,113.98
2.85,18,18:29,4,18:51,18,Regular,Heavy Rain,Medium,Urban,1.07,0.0,5.0,No,90.12
2.04,18,12:17,6,12:41,12,Fragile,Cloudy,Jam,Urban,1.02,5.0,5.0,No,62.65
4.23,18,18:13,3,18:34,18,Fragile,Clear,High,Suburban,1.18,10.0,0.0,Yes,122.75
2.56,11,17:46,4,18:01,17,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,49.2
3.2,13,14:28,5,14:46,14,Fragile+Heavy,Clear,Medium,Urban,1.15,30.0,0.0,No,98.91
1.38,10,09:01,3,09:14,9,Heavy,Clear,High,Suburban,1.0,15.0,0.0,No,49.97
2.73,13,21:04,5,21:22,21,Heavy,Clear,High,Suburban,1.11,10.0,0.0,No,69.79
2.12,14,15:09,3,15:26,15,Fragile+Heavy,Clear,High,Urban,1.0,25.0,7.0,No,76.34
1.91,11,10:18,3,10:32,10,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,41.82
8.0,26,13:44,5,14:15,13,Regular,Clear,Jam,Semi-Urban,1.18,0.0,0.0,No,130.14
2.82,12,14:19,4,14:35,14,Heavy,Clear,Medium,Urban,1.04,15.0,0.0,No,75.26
2.46,17,20:29,6,20:52,20,Regular,Clear,High,Suburban,1.0,0.0,0.0,No,48.13
3.48,14,19:18,6,19:38,19,Regular,Cloudy,Medium,Urban,1.13,0.0,0.0,No,82.29
3.26,20,19:51,6,20:17,19,Regular,Clear,Jam,Urban,1.11,0.0,12.0,No,75.49
3.15,10,01:48,3,02:01,1,Heavy,Cloudy,Low,Urban,1.0,15.0,18.0,No,66.45
2.56,12,14:48,4,15:04,14,Regular,Rain,Low,Suburban,1.44,0.0,13.0,No,92.47
3.73,15,16:50,3,17:08,16,Heavy,Clear,Medium,Suburban,1.0,10.0,0.0,No,76.78
2.73,18,06:24,2,06:44,6,Regular,Heavy Rain,Medium,Urban,1.03,0.0,0.0,No,83.23
3.29,17,12:18,5,12:40,12,Regular,Cloudy,High,Semi-Urban,1.28,0.0,7.0,Yes,103.06
3.9,12,19:58,4,20:14,19,Heavy,Clear,Low,Semi-Urban,1.06,15.0,0.0,No,82.62
1.63,9,09:41,3,09:53,9,Fragile+Heavy,Clear,Medium,Suburban,1.0,20.0,5.0,No,49.16
2.03,12,17:16,4,17:32,17,Regular,Rain,Medium,Suburban,1.05,0.0,0.0,No,54.19
2.21,11,11:18,3,11:32,11,Regular,Cloudy,Medium,Urban,1.0,0.0,0.0,No,48.41
2.34,10,02:07,4,02:21,2,Regular,Clear,Medium,Suburban,1.0,0.0,0.0,No,48.41
2.5,20,12:58,5,13:23,12,Heavy,Rain,Jam,Urban,1.34,10.0,0.0,No,90.14
1.99,11,23:17,3,23:31,23,Regular,Cloudy,Medium,Urban,1.0,0.0,0.0,No,40.55
4.75,14,20:11,5,20:30,20,Regular,Cloudy,Low,Suburban,1.02,0.0,5.0,No,88.41
1.74,10,22:14,3,22:27,22,Fragile,Rain,Medium,Urban,1.06,10.0,0.0,No,61.77
2.93,13,16:47,3,17:03,16,Regular,Cloudy,Medium,Urban,1.0,0.0,0.0,No,48.58
5.09,16,09:30,4,09:50,9,Regular,Clear,Medium,Semi-Urban,1.0,0.0,5.0,No,71.27
1.75,9,17:43,3,17:55,17,Heavy,Cloudy,Low,Urban,1.0,20.0,0.0,No,58.82
3.15,16,15:11,3,15:30,15,Heavy,Rain,Low,Urban,1.32,15.0,10.0,Yes,115.65
4.42,15,20:58,5,21:18,20,Fragile+Heavy,Clear,Medium,Semi-Urban,1.16,20.0,0.0,No,115.29
2.05,9,09:34,2,09:45,9,Regular,Clear,Low,Urban,1.0,0.0,9.0,No,35.81
1.6,13,16:42,4,16:59,16,Heavy,Clear,High,Urban,1.0,15.0,0.0,No,56.05
3.13,15,10:32,2,10:49,10,Fragile,Clear,High,Suburban,1.0,5.0,5.0,No,67.08
1.65,7,13:01,3,13:11,13,Regular,Clear,Low,Suburban,1.07,0.0,0.0,No,29.94
8.0,30,19:49,5,20:24,19,Fragile,Rain,Jam,Semi-Urban,1.34,5.0,0.0,No,179.7
3.85,18,16:44,3,17:05,16,Regular,Rain,High,Urban,1.05,0.0,0.0,No,82.56
2.42,14,13:45,3,14:02,13,Fragile,Clear,High,Semi-Urban,1.0,10.0,0.0,No,59.32
4.59,19,14:31,8,14:58,14,Fragile,Cloudy,Jam,Suburban,1.12,5.0,0.0,No,99.32
1.79,11,15:57,4,16:12,15,Heavy,Cloudy,High,Urban,1.0,15.0,5.0,No,58.9
1.4,12,20:21,5,20:38,20,Regular,Clear,High,Suburban,1.09,0.0,5.0,No,42.12
2.54,17,21:50,8,22:15,21,Fragile,Clear,Jam,Urban,1.17,10.0,0.0,No,69.63
2.19,15,22:36,3,22:54,22,Regular,Clear,High,Suburban,1.0,0.0,0.0,No,45.56
1.25,17,20:19,6,20:42,20,Fragile+Heavy,Cloudy,Jam,Urban,1.12,30.0,0.0,No,88.61
1.16,8,12:10,7,12:25,12,Fragile,Clear,Medium,Urban,1.04,10.0,5.0,No,39.31
2.76,12,19:35,7,19:54,19,Regular,Clear,Medium,Suburban,1.02,0.0,5.0,No,59.12
1.28,11,14:48,6,15:05,14,Regular,Clear,High,Suburban,1.04,0.0,0.0,No,39.15
3.49,17,12:27,5,12:49,12,Fragile,Rain,Medium,Suburban,1.4,10.0,8.0,No,125.55
2.68,15,20:04,4,20:23,20,Regular,Cloudy,High,Urban,1.01,0.0,0.0,No,50.76
3.24,12,07:01,4,07:17,7,Fragile,Clear,Medium,Suburban,1.0,10.0,0.0,No,60.62
3.55,17,21:31,7,21:55,21,Regular,Rain,High,Urban,1.23,0.0,0.0,No,94.13
2.45,17,15:02,4,15:23,15,Fragile,Clear,High,Suburban,1.05,5.0,5.0,Yes,82.92
3.19,13,18:40,3,18:56,18,Regular,Cloudy,Medium,Urban,1.0,0.0,0.0,No,64.83
3.6,14,18:29,2,18:45,18,Regular,Clear,High,Semi-Urban,1.0,0.0,7.0,No,56.03
2.89,10,21:11,5,21:26,21,Fragile+Heavy,Clear,Medium,Semi-Urban,1.13,30.0,0.0,No,88.25
2.9,19,18:45,2,19:06,18,Fragile,Rain,High,Urban,1.11,5.0,0.0,No,88.05
1.93,10,18:17,3,18:30,18,Regular,Cloudy,Low,Urban,1.0,0.0,0.0,No,41.08
2.66,10,08:50,3,09:03,8,Fragile+Heavy,Clear,Low,Suburban,1.0,25.0,0.0,No,78.76
3.61,16,16:02,2,16:20,16,Regular,Clear,High,Urban,1.0,0.0,0.0,No,54.2
3.54,18,10:01,3,10:22,10,Fragile,Clear,High,Urban,1.0,10.0,0.0,No,79.64
2.9,24,19:15,7,19:46,19,Regular,Cloudy,Jam,Urban,1.36,0.0,10.0,Yes,130.31
2.93,11,16:01,3,16:15,16,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,45.09
2.58,14,19:34,5,19:53,19,Regular,Cloudy,Jam,Semi-Urban,1.19,0.0,0.0,No,67.76
3.42,17,07:26,4,07:47,7,Regular,Rain,Medium,Suburban,1.17,0.0,0.0,No,86.92
3.43,14,08:07,4,08:25,8,Heavy,Clear,Low,Suburban,1.11,15.0,5.0,Yes,104.66
2.55,19,19:01,7,19:27,19,Heavy,Rain,High,Urban,1.99,10.0,9.0,Yes,172.17
2.83,11,08:42,4,08:57,8,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,43.48
2.21,11,08:24,2,08:37,8,Regular,Cloudy,Low,Urban,1.13,0.0,5.0,Yes,69.18
3.07,13,02:54,3,03:10,2,Heavy,Cloudy,Low,Suburban,1.0,10.0,5.0,No,67.73
2.0,9,22:47,2,22:58,22,Regular,Clear,Low,Semi-Urban,1.0,0.0,11.11,No,37.02
1.98,13,19:37,5,19:55,19,Regular,Clear,High,Urban,1.15,0.0,0.0,No,38.1
5.54,22,13:56,6,14:24,13,Regular,Rain,High,Semi-Urban,1.45,0.0,12.0,No,150.99
4.25,13,12:16,5,12:34,12,Regular,Clear,Low,Semi-Urban,1.15,0.0,0.0,No,86.82
1.96,15,13:24,4,13:43,13,Regular,Cloudy,Jam,Semi-Urban,1.18,0.0,0.0,No,66.28
3.88,14,19:57,3,20:14,19,Fragile,Clear,Medium,Urban,1.02,10.0,0.0,No,81.82
4.18,13,18:19,2,18:34,18,Regular,Clear,Medium,Semi-Urban,1.0,0.0,0.0,No,68.42
2.1,11,10:02,4,10:17,10,Heavy,Clear,Medium,Urban,1.0,15.0,5.0,No,64.13
3.07,9,10:32,3,10:44,10,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,44.99
2.17,18,09:29,4,09:51,9,Fragile,Clear,High,Suburban,1.12,5.0,0.0,Yes,87.05
3.05,12,18:38,3,18:53,18,Regular,Cloudy,Medium,Semi-Urban,1.0,0.0,7.0,No,57.44
2.1,13,19:22,6,19:41,19,Heavy,Clear,High,Urban,1.03,10.0,5.0,No,49.68
4.49,17,12:45,3,13:05,12,Regular,Clear,High,Semi-Urban,1.2,0.0,0.0,No,84.22
1.84,8,06:08,4,06:20,6,Regular,Clear,Low,Urban,1.0,0.0,5.0,No,39.04
5.17,17,08:01,4,08:22,8,Heavy,Clear,Low,Suburban,1.0,20.0,0.0,No,106.89
3.9,16,22:17,3,22:36,22,Regular,Clear,Medium,Semi-Urban,1.12,0.0,13.0,Yes,99.48
4.0,19,12:50,6,13:15,12,Fragile,Cloudy,Jam,Suburban,1.09,10.0,0.0,No,89.32
6.31,21,19:25,6,19:52,19,Fragile+Heavy,Clear,Medium,Urban,1.35,25.0,13.0,Yes,186.34
1.95,9,18:40,3,18:52,18,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,36.16
1.41,14,13:15,5,13:34,13,Regular,Cloudy,High,Urban,1.1,0.0,0.0,No,45.71
2.97,16,11:37,3,11:56,11,Regular,Heavy Rain,Low,Semi-Urban,1.05,0.0,0.0,No,75.99
1.89,10,09:01,3,09:14,9,Heavy,Clear,Medium,Suburban,1.0,10.0,5.0,No,49.96
1.41,7,18:53,3,19:03,18,Regular,Cloudy,Low,Urban,1.0,0.0,5.0,No,32.47
1.59,16,19:00,7,19:23,19,Fragile,Clear,High,Urban,1.44,10.0,0.0,Yes,91.03
2.35,11,18:21,3,18:35,18,Heavy,Cloudy,Low,Suburban,1.0,15.0,7.0,No,65.91
3.51,13,17:16,4,17:33,17,Regular,Cloudy,Medium,Urban,1.16,0.0,8.0,Yes,107.01
1.38,9,07:28,4,07:41,7,Heavy,Cloudy,Medium,Urban,1.0,15.0,5.0,No,48.58
2.67,17,22:34,4,22:55,22,Regular,Rain,Low,Urban,1.32,0.0,15.0,Yes,105.42
2.31,19,20:21,4,20:44,20,Regular,Clear,High,Semi-Urban,1.28,0.0,5.0,Yes,98.46
4.76,18,12:36,5,12:59,12,Fragile,Clear,High,Suburban,1.02,10.0,0.0,No,91.79
3.17,10,23:04,2,23:16,23,Regular,Clear,Low,Urban,1.0,0.0,11.0,No,48.65
3.27,22,18:40,5,19:07,18,Regular,Cloudy,Jam,Urban,1.16,0.0,0.0,Yes,102.0
5.03,17,18:09,4,18:30,18,Fragile,Rain,Low,Semi-Urban,1.06,10.0,0.0,No,112.35
3.57,17,19:31,4,19:52,19,Fragile,Clear,High,Suburban,1.02,5.0,0.0,No,73.99
0.97,9,20:20,5,20:34,20,Regular,Clear,Medium,Suburban,1.05,0.0,6.0,No,31.13
5.79,16,18:28,2,18:46,18,Heavy,Cloudy,Low,Suburban,1.15,15.0,0.0,Yes,145.86
6.77,17,09:47,4,10:08,9,Regular,Clear,Low,Semi-Urban,1.0,0.0,6.0,No,93.34
2.77,14,13:36,6,13:56,13,Heavy,Clear,High,Urban,1.19,15.0,7.0,No,79.08
1.8,13,22:40,2,22:55,22,Fragile,Clear,Medium,Urban,1.09,5.0,0.0,Yes,62.99
2.23,8,11:50,3,12:01,11,Regular,Clear,Low,Urban,1.0,0.0,10.0,No,35.58
2.53,16,13:49,5,14:10,13,Regular,Clear,High,Urban,1.11,0.0,5.0,No,68.26
3.01,17,14:21,6,14:44,14,Fragile,Clear,Jam,Urban,1.06,5.0,8.0,No,67.49
3.64,13,15:20,4,15:37,15,Heavy,Clear,Medium,Suburban,1.0,15.0,0.0,No,77.92
3.61,14,18:18,3,18:35,18,Regular,Rain,Low,Suburban,1.11,0.0,0.0,No,78.14
2.05,10,22:11,2,22:23,22,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,37.25
2.0,12,12:52,5,13:09,12,Regular,Cloudy,Jam,Urban,1.1,0.0,5.0,No,47.93
3.12,18,09:24,3,09:45,9,Regular,Cloudy,High,Urban,1.0,0.0,8.0,No,61.9
1.79,12,11:17,3,11:32,11,Fragile,Rain,Low,Urban,1.1,5.0,5.0,No,56.11
3.59,11,21:14,5,21:30,21,Regular,Cloudy,Medium,Semi-Urban,1.04,0.0,0.0,No,60.5
2.23,9,18:15,2,18:26,18,Fragile,Cloudy,Low,Suburban,1.0,5.0,0.0,No,43.49
2.39,16,12:16,5,12:37,12,Heavy,Cloudy,High,Urban,1.05,10.0,5.0,No,61.47
5.04,17,20:54,5,21:16,20,Fragile+Heavy,Clear,Medium,Semi-Urban,1.21,25.0,9.0,Yes,147.45
1.85,14,21:29,6,21:49,21,Regular,Cloudy,Jam,Suburban,1.15,0.0,0.0,No,55.55
8.0,20,20:45,5,21:10,20,Fragile,Clear,Low,Semi-Urban,1.12,5.0,13.0,No,137.59
4.94,23,21:24,8,21:55,21,Heavy,Clear,Jam,Suburban,1.08,10.0,0.0,No,106.79
2.81,13,12:38,5,12:56,12,Regular,Clear,Jam,Urban,1.14,0.0,0.0,No,62.0
2.75,18,19:01,5,19:24,19,Regular,Clear,Jam,Urban,1.11,0.0,0.0,No,65.11
1.85,17,15:08,4,15:29,15,Heavy,Clear,High,Urban,1.13,15.0,12.0,Yes,88.39
3.94,12,20:46,4,21:02,20,Regular,Cloudy,Medium,Urban,1.05,0.0,5.0,No,61.0
1.89,15,19:50,6,20:11,19,Fragile+Heavy,Rain,High,Urban,1.24,20.0,0.0,No,93.09
1.94,11,19:10,5,19:26,19,Regular,Clear,Medium,Urban,1.15,0.0,6.0,No,47.6
1.92,10,18:25,3,18:38,18,Regular,Clear,Low,Semi-Urban,1.0,0.0,0.0,No,42.15
1.02,18,10:30,3,10:51,10,Regular,Heavy Rain,High,Urban,1.06,0.0,0.0,No,67.24
1.75,8,17:23,3,17:34,17,Regular,Cloudy,Low,Urban,1.0,0.0,5.0,No,37.41
2.88,14,23:01,3,23:18,23,Regular,Rain,Medium,Urban,1.16,0.0,0.0,No,75.44
2.34,12,22:39,3,22:54,22,Regular,Clear,High,Urban,1.0,0.0,10.0,No,42.34
1.53,13,07:39,3,07:55,7,Regular,Rain,Low,Urban,1.2,0.0,5.0,No,45.79
5.7,19,10:50,4,11:13,10,Regular,Rain,Low,Suburban,1.18,0.0,7.0,No,117.24
5.48,20,09:51,3,10:14,9,Regular,Clear,Jam,Semi-Urban,1.0,0.0,7.0,No,93.09
1.96,12,19:14,6,19:32,19,Heavy,Clear,High,Urban,1.08,20.0,0.0,No,62.64
2.51,16,20:44,6,21:06,20,Regular,Clear,Jam,Urban,1.13,0.0,5.0,No,58.25
3.08,11,11:48,2,12:01,11,Heavy,Clear,Low,Urban,1.0,15.0,0.0,No,63.63
2.14,21,16:52,4,17:17,16,Heavy,Heavy Rain,Medium,Urban,1.34,15.0,10.0,Yes,142.74
2.07,13,20:25,4,20:42,20,Regular,Clear,High,Suburban,1.12,0.0,0.0,No,53.1
2.07,17,19:34,8,19:59,19,Regular,Cloudy,Jam,Suburban,1.06,0.0,0.0,No,67.42
2.81,14,17:55,2,18:11,17,Heavy,Rain,Low,Urban,1.15,15.0,5.0,No,92.53
5.63,17,18:52,4,19:13,18,Heavy,Clear,Low,Semi-Urban,1.07,15.0,0.0,Yes,122.97
4.35,12,16:43,3,16:58,16,Regular,Cloudy,Low,Urban,1.0,0.0,5.0,No,65.96
2.68,10,12:02,5,12:17,12,Fragile,Clear,Medium,Urban,1.13,5.0,0.0,No,66.37
3.44,14,17:31,3,17:48,17,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,51.03
3.58,22,19:09,6,19:37,19,Regular,Heavy Rain,High,Urban,1.28,0.0,0.0,No,112.71
0.89,11,21:40,8,21:59,21,Regular,Clear,Jam,Urban,1.12,0.0,5.0,No,34.03
3.09,15,18:36,2,18:53,18,Regular,Clear,High,Suburban,1.0,0.0,6.0,No,52.74
5.56,25,19:15,6,19:46,19,Fragile+Heavy,Cloudy,Jam,Semi-Urban,1.03,20.0,5.0,No,125.53
0.92,8,10:47,4,10:59,10,Heavy,Cloudy,Medium,Urban,1.0,10.0,0.0,No,38.02
2.33,9,15:40,3,15:52,15,Fragile,Cloudy,Low,Suburban,1.0,10.0,5.0,No,49.6
1.26,14,01:27,4,01:45,1,Regular,Rain,High,Urban,1.03,0.0,0.0,No,52.38
3.31,19,12:19,6,12:44,12,Regular,Clear,Jam,Semi-Urban,1.02,0.0,6.0,No,67.13
3.42,15,19:08,5,19:28,19,Regular,Cloudy,High,Semi-Urban,1.08,0.0,0.0,No,53.76
1.53,10,23:20,2,23:32,23,Regular,Rain,Low,Urban,1.05,0.0,10.0,No,43.7
0.96,8,09:16,2,09:26,9,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,26.9
2.29,11,14:11,6,14:28,14,Fragile,Cloudy,Low,Urban,1.01,5.0,0.0,No,52.45
2.42,13,20:40,4,20:57,20,Regular,Clear,Low,Suburban,1.26,0.0,5.0,Yes,76.88
3.48,11,11:05,2,11:18,11,Fragile+Heavy,Clear,Low,Urban,1.0,30.0,7.0,No,90.21
1.13,8,17:29,2,17:39,17,Fragile+Heavy,Clear,High,Urban,1.0,20.0,5.0,No,48.23
6.28,20,19:09,4,19:33,19,Fragile,Cloudy,High,Suburban,1.15,5.0,13.0,No,127.93
1.47,15,18:43,2,19:00,18,Fragile,Rain,Medium,Suburban,1.46,10.0,8.0,Yes,115.61
4.46,19,10:25,2,10:46,10,Regular,Cloudy,High,Semi-Urban,1.0,0.0,0.0,No,80.57
2.25,20,13:52,7,14:19,13,Regular,Rain,Jam,Urban,1.22,0.0,0.0,No,68.54
2.99,12,20:56,6,21:14,20,Heavy,Clear,Medium,Urban,1.03,10.0,0.0,No,53.77
2.88,12,17:40,4,17:56,17,Fragile,Clear,Medium,Urban,1.0,10.0,0.0,No,63.49
2.64,17,00:48,3,01:08,0,Regular,Heavy Rain,Medium,Urban,1.13,0.0,12.0,No,88.13
2.67,16,19:46,5,20:07,19,Fragile,Rain,High,Suburban,1.32,10.0,0.0,No,103.61
2.33,13,07:56,2,08:11,7,Fragile+Heavy,Clear,High,Suburban,1.0,25.0,0.0,No,66.89
2.07,14,19:32,8,19:54,19,Regular,Cloudy,Jam,Urban,1.14,0.0,5.0,No,50.84
1.84,8,11:37,4,11:49,11,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,32.02
2.61,11,22:17,4,22:32,22,Fragile+Heavy,Clear,Low,Suburban,1.0,20.0,0.0,No,67.12
2.99,18,13:20,4,13:42,13,Regular,Rain,High,Urban,1.58,0.0,6.0,Yes,131.97
1.93,15,13:48,5,14:08,13,Regular,Cloudy,Jam,Urban,1.16,0.0,5.0,No,60.82
4.44,17,09:02,4,09:23,9,Regular,Clear,Medium,Urban,1.07,0.0,5.0,Yes,96.22
1.41,14,12:03,8,12:25,12,Heavy,Clear,Jam,Urban,1.01,15.0,0.0,No,55.68
3.75,20,21:57,5,22:22,21,Heavy,Clear,Jam,Suburban,1.05,15.0,0.0,No,88.26
3.11,11,23:49,3,00:03,23,Regular,Cloudy,Low,Suburban,1.0,0.0,0.0,No,54.24
7.42,22,13:16,5,13:43,13,Regular,Clear,Medium,Semi-Urban,1.07,0.0,5.0,No,114.29
2.02,22,15:36,4,16:02,15,Regular,Heavy Rain,Medium,Urban,1.41,0.0,5.0,Yes,113.93
3.07,15,19:20,3,19:38,19,Regular,Rain,Low,Semi-Urban,1.25,0.0,0.0,No,83.91
3.95,15,21:58,3,22:16,21,Regular,Clear,High,Urban,1.01,0.0,0.0,No,62.06
2.65,15,18:40,4,18:59,18,Regular,Cloudy,High,Urban,1.0,0.0,0.0,No,57.93
4.59,18,14:47,7,15:12,14,Regular,Clear,Jam,Suburban,1.07,0.0,0.0,No,96.78
2.36,15,14:50,6,15:11,14,Fragile+Heavy,Clear,High,Urban,1.16,25.0,5.0,No,86.98
1.61,15,19:02,4,19:21,19,Regular,Clear,Jam,Urban,1.07,0.0,5.0,No,39.16
2.23,15,00:53,3,01:11,0,Regular,Heavy Rain,Low,Urban,1.11,0.0,11.0,No,68.41
2.37,10,18:40,4,18:54,18,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,44.88
1.8,12,13:03,3,13:18,13,Fragile,Cloudy,High,Urban,1.17,10.0,0.0,No,57.77
2.79,15,20:17,4,20:36,20,Regular,Clear,High,Semi-Urban,1.1,0.0,7.0,No,58.0
1.7,9,09:35,3,09:47,9,Regular,Clear,Low,Suburban,1.0,0.0,5.0,No,32.42
2.41,14,18:18,3,18:35,18,Heavy,Cloudy,Medium,Urban,1.0,10.0,8.0,No,60.01
2.07,17,16:30,2,16:49,16,Fragile+Heavy,Rain,High,Urban,1.01,25.0,0.0,No,85.65
2.3,11,18:15,3,18:29,18,Fragile,Clear,Low,Urban,1.07,5.0,0.0,Yes,65.52
2.93,11,08:25,4,08:40,8,Regular,Clear,Low,Suburban,1.0,0.0,0.0,No,48.68
1.64,12,18:31,4,18:47,18,Regular,Clear,High,Urban,1.0,0.0,9.0,No,40.13
1.9,10,17:28,3,17:41,17,Fragile,Clear,Medium,Urban,1.0,5.0,5.0,No,41.43
2.57,9,17:25,2,17:36,17,Regular,Cloudy,Medium,Suburban,1.0,0.0,0.0,No,44.38
3.15,13,18:32,3,18:48,18,Regular,Clear,Medium,Suburban,1.18,0.0,0.0,Yes,94.49
3.5,17,19:05,3,19:25,19,Fragile+Heavy,Cloudy,High,Suburban,1.08,25.0,5.0,No,107.92
3.37,16,20:19,5,20:40,20,Heavy,Cloudy,High,Semi-Urban,1.17,15.0,7.0,No,94.41
2.83,13,12:31,6,12:50,12,Heavy,Clear,High,Suburban,1.12,15.0,0.0,No,71.67
1.75,13,20:03,6,20:22,20,Heavy,Clear,High,Semi-Urban,1.07,15.0,5.0,No,57.31
1.75,9,16:26,3,16:38,16,Fragile,Clear,Medium,Urban,1.0,5.0,0.0,No,41.6
2.23,8,08:01,3,08:12,8,Fragile,Clear,Low,Suburban,1.0,10.0,0.0,No,44.22
4.38,16,08:15,3,08:34,8,Regular,Cloudy,Medium,Urban,1.0,0.0,0.0,No,74.41
3.16,17,13:18,5,13:40,13,Fragile+Heavy,Clear,High,Urban,1.44,25.0,12.0,Yes,134.6
2.8,12,20:01,5,20:18,20,Regular,Cloudy,Medium,Urban,1.03,0.0,8.0,No,52.88
3.57,21,19:59,7,20:27,19,Fragile,Clear,Jam,Semi-Urban,1.15,10.0,6.0,No,99.8
2.6,19,20:01,8,20:28,20,Regular,Clear,Jam,Urban,1.0,0.0,0.0,No,56.23
2.39,12,16:28,2,16:42,16,Regular,Clear,Low,Suburban,1.2,0.0,5.0,Yes,72.34
3.32,12,15:41,4,15:57,15,Fragile,Cloudy,Low,Suburban,1.0,10.0,0.0,No,58.91
2.42,9,09:46,3,09:58,9,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,38.8
2.54,17,13:39,7,14:03,13,Fragile,Cloudy,Medium,Semi-Urban,1.5,10.0,0.0,Yes,115.04
2.66,15,14:06,6,14:27,14,Fragile,Clear,High,Suburban,1.03,5.0,0.0,No,58.73
2.99,11,08:17,2,08:30,8,Regular,Clear,Low,Suburban,1.0,0.0,0.0,No,44.65
2.85,14,11:07,4,11:25,11,Regular,Clear,Low,Semi-Urban,1.05,0.0,0.0,Yes,79.13
3.96,12,18:29,2,18:43,18,Regular,Clear,Medium,Semi-Urban,1.0,0.0,0.0,No,63.58
1.69,20,19:59,6,20:25,19,Heavy,Cloudy,Jam,Urban,1.18,20.0,10.0,No,91.21
3.17,12,23:17,3,23:32,23,Regular,Clear,Medium,Suburban,1.0,0.0,0.0,No,45.91
2.14,9,22:23,4,22:36,22,Regular,Clear,Low,Suburban,1.0,0.0,10.0,No,40.17
